unique_id,ds,y
peticiones_servidor_1,1,88
peticiones_servidor_1,2,84
peticiones_servidor_1,3,85
peticiones_servidor_1,4,85
peticiones_servidor_1,5,84
peticiones_servidor_1,6,85
peticiones_servidor_1,7,83
peticiones_servidor_1,8,85
peticiones_servidor_1,9,88
peticiones_servidor_1,10,89
peticiones_servidor_1,11,91
peticiones_servidor_1,12,99
peticiones_servidor_1,13,104
peticiones_servidor_1,14,112
peticiones_servidor_1,15,126
peticiones_servidor_1,16,138
peticiones_servidor_1,17,146
peticiones_servidor_1,18,151
peticiones_servidor_1,19,150
peticiones_servidor_1,20,148
peticiones_servidor_1,21,147
peticiones_servidor_1,22,149
peticiones_servidor_1,23,143
peticiones_servidor_1,24,132
peticiones_servidor_1,25,131
peticiones_servidor_1,26,139
peticiones_servidor_1,27,147
peticiones_servidor_1,28,150
peticiones_servidor_1,29,148
peticiones_servidor_1,30,145
peticiones_servidor_1,31,140
peticiones_servidor_1,32,134
peticiones_servidor_1,33,131
peticiones_servidor_1,34,131
peticiones_servidor_1,35,129
peticiones_servidor_1,36,126
peticiones_servidor_1,37,126
peticiones_servidor_1,38,132
peticiones_servidor_1,39,137
peticiones_servidor_1,40,140
peticiones_servidor_1,41,142
peticiones_servidor_1,42,150
peticiones_servidor_1,43,159
peticiones_servidor_1,44,167
peticiones_servidor_1,45,170
peticiones_servidor_1,46,171
peticiones_servidor_1,47,172
peticiones_servidor_1,48,172
peticiones_servidor_1,49,174
peticiones_servidor_1,50,175
peticiones_servidor_1,51,172
peticiones_servidor_1,52,172
peticiones_servidor_1,53,174
peticiones_servidor_1,54,174
peticiones_servidor_1,55,169
peticiones_servidor_1,56,165
peticiones_servidor_1,57,156
peticiones_servidor_1,58,142
peticiones_servidor_1,59,131
peticiones_servidor_1,60,121
peticiones_servidor_1,61,112
peticiones_servidor_1,62,104
peticiones_servidor_1,63,102
peticiones_servidor_1,64,99
peticiones_servidor_1,65,99
peticiones_servidor_1,66,95
peticiones_servidor_1,67,88
peticiones_servidor_1,68,84
peticiones_servidor_1,69,84
peticiones_servidor_1,70,87
peticiones_servidor_1,71,89
peticiones_servidor_1,72,88
peticiones_servidor_1,73,85
peticiones_servidor_1,74,86
peticiones_servidor_1,75,89
peticiones_servidor_1,76,91
peticiones_servidor_1,77,91
peticiones_servidor_1,78,94
peticiones_servidor_1,79,101
peticiones_servidor_1,80,110
peticiones_servidor_1,81,121
peticiones_servidor_1,82,135
peticiones_servidor_1,83,145
peticiones_servidor_1,84,149
peticiones_servidor_1,85,156
peticiones_servidor_1,86,165
peticiones_servidor_1,87,171
peticiones_servidor_1,88,175
peticiones_servidor_1,89,177
peticiones_servidor_1,90,182
peticiones_servidor_1,91,193
peticiones_servidor_1,92,204
peticiones_servidor_1,93,208
peticiones_servidor_1,94,210
peticiones_servidor_1,95,215
peticiones_servidor_1,96,222
peticiones_servidor_1,97,228
peticiones_servidor_1,98,226
peticiones_servidor_1,99,222
peticiones_servidor_1,100,220
