unique_id,ds,y
temperatura,1,21.2
temperatura,2,20.8
temperatura,3,18.8
temperatura,4,21.2
temperatura,5,21.6
temperatura,6,19.0
temperatura,7,20.0
temperatura,8,21.6
temperatura,9,18.6
temperatura,10,20.4
temperatura,11,20.3
temperatura,12,17.5
temperatura,13,20.4
temperatura,14,19.6
temperatura,15,18.2
temperatura,16,20.9
temperatura,17,18.0
temperatura,18,19.7
temperatura,19,22.2
temperatura,20,17.2
temperatura,21,21.5
temperatura,22,18.3
temperatura,23,20.9
temperatura,24,19.5
temperatura,25,18.3
temperatura,26,21.6
temperatura,27,18.1
temperatura,28,20.6
temperatura,29,19.2
temperatura,30,22.2
temperatura,31,17.7
temperatura,32,20.4
temperatura,33,21.9
temperatura,34,17.1
temperatura,35,22.1
temperatura,36,16.9
temperatura,37,20.8
temperatura,38,20.0
temperatura,39,19.5
temperatura,40,19.6
temperatura,41,20.3
temperatura,42,20.0
temperatura,43,18.7
temperatura,44,20.5
temperatura,45,19.1
temperatura,46,20.9
temperatura,47,18.9
temperatura,48,18.7
temperatura,49,22.4
temperatura,50,17.9
temperatura,51,20.0
temperatura,52,21.0
temperatura,53,19.9
temperatura,54,20.4
temperatura,55,19.1
temperatura,56,21.3
temperatura,57,20.0
temperatura,58,20.4
temperatura,59,18.8
temperatura,60,21.1
temperatura,61,18.7
temperatura,62,19.8
temperatura,63,21.1
temperatura,64,19.6
temperatura,65,19.2
temperatura,66,22.2
temperatura,67,19.3
temperatura,68,19.8
temperatura,69,21.3
temperatura,70,20.7
temperatura,71,18.7
temperatura,72,22.8
temperatura,73,15.8
temperatura,74,24.7
temperatura,75,17.2
temperatura,76,20.3
temperatura,77,20.5
temperatura,78,17.7
temperatura,79,21.8
temperatura,80,19.0
temperatura,81,20.9
temperatura,82,18.3
temperatura,83,20.9
temperatura,84,19.9
temperatura,85,20.8
temperatura,86,19.0
temperatura,87,19.9
temperatura,88,21.3
temperatura,89,19.2
temperatura,90,21.3
temperatura,91,18.4
temperatura,92,21.1
temperatura,93,19.4
temperatura,94,18.7
temperatura,95,21.4
temperatura,96,18.8
temperatura,97,20.0
temperatura,98,20.0
temperatura,99,18.8
temperatura,100,20.8
